,Name,Team,Position,Height,Weight,Age,PosCategory
9,Adam_Stern,BAL,Outfielder,71,180,27.05,Outfielder
10,Jeff_Fiorentino,BAL,Outfielder,73,188,23.88,Outfielder
11,Freddie_Bynum,BAL,Outfielder,73,180,26.96,Outfielder
12,Nick_Markakis,BAL,Outfielder,74,185,23.29,Outfielder
13,Brandon_Fahey,BAL,Outfielder,74,160,26.11,Outfielder
14,Corey_Patterson,BAL,Outfielder,69,180,27.55,Outfielder
15,Jay_Payton,BAL,Outfielder,70,185,34.27,Outfielder
42,Ryan_Sweeney,CWS,Outfielder,76,200,22.02,Outfielder
43,Brian_N._Anderson,CWS,Outfielder,74,205,24.97,Outfielder
44,Luis_Terrero,CWS,Outfielder,74,206,26.78,Outfielder
45,Pablo_Ozuna,CWS,Outfielder,70,186,32.51,Outfielder
46,Scott_Podsednik,CWS,Outfielder,72,188,30.95,Outfielder
47,Jermaine_Dye,CWS,Outfielder,77,220,33.09,Outfielder
48,Darin_Erstad,CWS,Outfielder,74,210,32.74,Outfielder
49,Rob_Mackowiak,CWS,Outfielder,70,195,30.69,Outfielder
77,Reggie_Willits,ANA,Outfielder,71,185,25.75,Outfielder
78,Tommy_Murphy,ANA,Outfielder,72,185,27.51,Outfielder
79,Terry_Evans,ANA,Outfielder,75,200,25.11,Outfielder
80,Gary_Matthews_Jr.,ANA,Outfielder,75,225,32.51,Outfielder
81,Garret_Anderson,ANA,Outfielder,75,225,34.67,Outfielder
82,Vladimir_Guerrero,ANA,Outfielder,75,220,31.06,Outfielder
83,Chone_Figgins,ANA,Outfielder,68,160,29.1,Outfielder
84,Juan_Rivera,ANA,Outfielder,74,205,28.66,Outfielder
108,Wily_Mo_Pe?a,BOS,Outfielder,75,215,25.1,Outfielder
109,J.D._Drew,BOS,Outfielder,73,200,31.28,Outfielder
110,Manny_Ramirez,BOS,Outfielder,72,213,34.75,Outfielder
111,Brandon_Moss,BOS,Outfielder,72,180,23.46,Outfielder
112,David_Murphy,BOS,Outfielder,76,192,25.37,Outfielder
113,Eric_Hinske,BOS,Outfielder,74,235,29.57,Outfielder
114,Coco_Crisp,BOS,Outfielder,72,185,27.33,Outfielder
143,Ben_Francisco,CLE,Outfielder,73,180,25.35,Outfielder
144,Shin-Soo_Choo,CLE,Outfielder,71,178,24.63,Outfielder
145,Franklin_Gutierrez,CLE,Outfielder,74,175,24.02,Outfielder
146,Grady_Sizemore,CLE,Outfielder,74,200,24.58,Outfielder
147,Jason_Michaels,CLE,Outfielder,72,204,30.82,Outfielder
148,Trot_Nixon,CLE,Outfielder,74,211,32.89,Outfielder
149,David_Dellucci,CLE,Outfielder,71,190,33.33,Outfielder
150,Casey_Blake,CLE,Outfielder,74,210,33.52,Outfielder
