,Name,Team,Position,Height,Weight,Age,PosCategory
100,Doug_Mirabelli,BOS,Catcher,73,220,36.37,Catcher
101,Jason_Varitek,BOS,Catcher,74,230,34.89,Catcher
102,George_Kottaras,BOS,Catcher,72,180,23.79,Catcher
103,Kevin_Youkilis,BOS,First_Baseman,73,220,27.96,Infielder
104,Dustin_Pedroia,BOS,Second_Baseman,69,180,23.54,Infielder
105,Alex_Cora,BOS,Shortstop,72,180,31.37,Infielder
106,Julio_Lugo,BOS,Shortstop,73,170,31.29,Infielder
107,Mike_Lowell,BOS,Third_Baseman,75,210,33.01,Infielder
108,Wily_Mo_Pe?a,BOS,Outfielder,75,215,25.1,Outfielder
109,J.D._Drew,BOS,Outfielder,73,200,31.28,Outfielder
110,Manny_Ramirez,BOS,Outfielder,72,213,34.75,Outfielder
111,Brandon_Moss,BOS,Outfielder,72,180,23.46,Outfielder
112,David_Murphy,BOS,Outfielder,76,192,25.37,Outfielder
113,Eric_Hinske,BOS,Outfielder,74,235,29.57,Outfielder
114,Coco_Crisp,BOS,Outfielder,72,185,27.33,Outfielder
115,Curt_Schilling,BOS,Starting_Pitcher,77,235,40.29,Pitcher
116,Tim_Wakefield,BOS,Starting_Pitcher,74,210,40.58,Pitcher
117,Josh_Beckett,BOS,Starting_Pitcher,77,222,26.79,Pitcher
118,Matt_Clement,BOS,Starting_Pitcher,75,210,32.55,Pitcher
119,Jonathan_Papelbon,BOS,Starting_Pitcher,76,230,26.27,Pitcher
120,Kyle_Snyder,BOS,Starting_Pitcher,80,220,29.47,Pitcher
121,Devern_Hansack,BOS,Starting_Pitcher,74,180,29.07,Pitcher
122,Jon_Lester,BOS,Starting_Pitcher,74,190,23.15,Pitcher
123,Kason_Gabbard,BOS,Starting_Pitcher,75,200,24.9,Pitcher
124,Craig_Hansen,BOS,Relief_Pitcher,78,210,23.29,Pitcher
125,Hideki_Okajima,BOS,Relief_Pitcher,73,194,31.18,Pitcher
126,Craig_Breslow,BOS,Relief_Pitcher,73,180,26.56,Pitcher
127,Manny_Delcarmen,BOS,Relief_Pitcher,74,190,25.03,Pitcher
128,Brendan_Donnelly,BOS,Relief_Pitcher,75,240,35.66,Pitcher
129,Javier_Lopez,BOS,Relief_Pitcher,76,200,29.64,Pitcher
130,J.C._Romero,BOS,Relief_Pitcher,71,198,30.74,Pitcher
131,Joel_Pineiro,BOS,Relief_Pitcher,73,200,28.43,Pitcher
132,Julian_Tavarez,BOS,Relief_Pitcher,74,195,33.77,Pitcher
133,Mike_Timlin,BOS,Relief_Pitcher,76,210,40.97,Pitcher
134,Nick_DeBarr,BOS,Relief_Pitcher,76,220,23.52,Pitcher
135,Victor_Martinez,CLE,Catcher,74,190,28.19,Catcher
136,Kelly_Shoppach,CLE,Catcher,73,210,26.84,Catcher
137,Ryan_Garko,CLE,First_Baseman,74,225,26.16,Infielder
138,Joe_Inglett,CLE,Second_Baseman,70,180,28.67,Infielder
139,Josh_Barfield,CLE,Second_Baseman,72,185,24.2,Infielder
140,Hector_Luna,CLE,Second_Baseman,73,170,27.08,Infielder
141,Jhonny_Peralta,CLE,Shortstop,73,185,24.76,Infielder
142,Andy_Marte,CLE,Third_Baseman,73,185,23.36,Infielder
143,Ben_Francisco,CLE,Outfielder,73,180,25.35,Outfielder
144,Shin-Soo_Choo,CLE,Outfielder,71,178,24.63,Outfielder
145,Franklin_Gutierrez,CLE,Outfielder,74,175,24.02,Outfielder
146,Grady_Sizemore,CLE,Outfielder,74,200,24.58,Outfielder
147,Jason_Michaels,CLE,Outfielder,72,204,30.82,Outfielder
148,Trot_Nixon,CLE,Outfielder,74,211,32.89,Outfielder
149,David_Dellucci,CLE,Outfielder,71,190,33.33,Outfielder
150,Casey_Blake,CLE,Outfielder,74,210,33.52,Outfielder
151,Paul_Byrd,CLE,Starting_Pitcher,73,190,36.24,Pitcher
152,Cliff_Lee,CLE,Starting_Pitcher,75,190,28.5,Pitcher
153,Jake_Westbrook,CLE,Starting_Pitcher,75,185,29.42,Pitcher
154,C.C._Sabathia,CLE,Starting_Pitcher,79,290,26.61,Pitcher
155,Jeremy_Sowers,CLE,Starting_Pitcher,73,175,23.79,Pitcher
156,Rafael_Perez,CLE,Relief_Pitcher,75,185,24.96,Pitcher
157,Brian_Slocum,CLE,Relief_Pitcher,76,200,25.93,Pitcher
158,Edward_Mujica,CLE,Relief_Pitcher,74,220,22.81,Pitcher
159,Fernando_Cabrera,CLE,Relief_Pitcher,76,170,25.29,Pitcher
160,Tom_Mastny,CLE,Relief_Pitcher,78,220,26.07,Pitcher
161,Juan_Lara,CLE,Relief_Pitcher,74,190,26.09,Pitcher
162,Fausto_Carmona,CLE,Relief_Pitcher,76,220,23.23,Pitcher
163,Aaron_Fultz,CLE,Relief_Pitcher,72,205,33.49,Pitcher
164,Rafael_Betancourt,CLE,Relief_Pitcher,74,200,31.84,Pitcher
165,Roberto_Hernandez,CLE,Relief_Pitcher,76,250,42.3,Pitcher
166,Joe_Borowski,CLE,Relief_Pitcher,74,225,35.82,Pitcher
167,Matt_Miller,CLE,Relief_Pitcher,75,215,35.27,Pitcher
168,Jason_Davis,CLE,Relief_Pitcher,78,210,26.81,Pitcher
169,Mike_Piazza,OAK,Catcher,75,215,38.49,Catcher
170,Jason_Kendall,OAK,Catcher,72,195,32.68,Catcher
171,Adam_Melhuse,OAK,Catcher,74,200,34.93,Catcher
172,Nick_Swisher,OAK,First_Baseman,72,194,26.26,Infielder
173,Dan_Johnson,OAK,First_Baseman,74,220,27.56,Infielder
174,Donald_Murphy,OAK,Second_Baseman,70,180,23.98,Infielder
175,Mark_Ellis,OAK,Second_Baseman,71,180,29.73,Infielder
176,Marco_Scutaro,OAK,Shortstop,70,170,31.33,Infielder
177,Bobby_Crosby,OAK,Shortstop,75,195,27.13,Infielder
178,Mark_Kiger,OAK,Shortstop,71,180,26.75,Infielder
179,Antonio_Perez,OAK,Third_Baseman,71,170,27.09,Infielder
180,Eric_Chavez,OAK,Third_Baseman,73,206,29.23,Infielder
181,Milton_Bradley,OAK,Outfielder,72,205,28.88,Outfielder
182,Shannon_Stewart,OAK,Outfielder,71,200,33.01,Outfielder
183,Bobby_Kielty,OAK,Outfielder,73,225,30.57,Outfielder
184,Mark_Kotsay,OAK,Outfielder,72,201,31.24,Outfielder
185,Ryan_Goleski,OAK,Outfielder,75,225,24.95,Outfielder
186,Jason_Windsor,OAK,Starting_Pitcher,74,233,24.62,Pitcher
187,David_Shafer,OAK,Starting_Pitcher,74,180,24.98,Pitcher
188,Joe_Blanton,OAK,Starting_Pitcher,75,225,26.22,Pitcher
189,Brad_Halsey,OAK,Starting_Pitcher,73,180,26.04,Pitcher
190,Dan_Haren,OAK,Starting_Pitcher,77,220,26.45,Pitcher
191,Rich_Harden,OAK,Starting_Pitcher,73,180,25.25,Pitcher
192,Joe_Kennedy,OAK,Starting_Pitcher,76,237,27.77,Pitcher
193,Esteban_Loaiza,OAK,Starting_Pitcher,75,215,35.16,Pitcher
194,Alan_Embree,OAK,Relief_Pitcher,74,190,37.1,Pitcher
195,Jay_Witasick,OAK,Relief_Pitcher,76,235,34.51,Pitcher
196,Justin_Duchscherer,OAK,Relief_Pitcher,75,190,29.28,Pitcher
197,Kiko_Calero,OAK,Relief_Pitcher,73,180,32.14,Pitcher
198,Chad_Gaudin,OAK,Relief_Pitcher,71,165,23.94,Pitcher
199,Lenny_DiNardo,OAK,Relief_Pitcher,76,195,27.45,Pitcher
200,Scott_Dunn,OAK,Relief_Pitcher,75,200,28.77,Pitcher
201,Huston_Street,OAK,Relief_Pitcher,72,190,23.58,Pitcher
202,Ron_Flores,OAK,Relief_Pitcher,71,190,27.56,Pitcher
203,Jay_Marshall,OAK,Relief_Pitcher,77,185,24.01,Pitcher
204,Marcus_McBeth,OAK,Relief_Pitcher,73,185,26.52,Pitcher
205,Jorge_Posada,NYY,Catcher,74,205,35.54,Catcher
206,Wil_Nieves,NYY,Catcher,71,190,29.43,Catcher
207,Andy_Phillips,NYY,First_Baseman,72,205,29.9,Infielder
208,Doug_Mientkiewicz,NYY,First_Baseman,74,206,32.7,Infielder
209,Josh_Phelps,NYY,First_Baseman,75,220,28.8,Infielder
210,Miguel_Cairo,NYY,Second_Baseman,73,208,32.82,Infielder
211,Robinson_Cano,NYY,Second_Baseman,72,170,24.36,Infielder
212,Derek_Jeter,NYY,Shortstop,75,195,32.68,Infielder
213,Alex_Rodriguez,NYY,Third_Baseman,75,210,31.59,Infielder
214,Johnny_Damon,NYY,Outfielder,74,190,33.32,Outfielder
215,Bobby_Abreu,NYY,Outfielder,72,211,32.97,Outfielder
216,Hideki_Matsui,NYY,Outfielder,74,230,32.72,Outfielder
217,Melky_Cabrera,NYY,Outfielder,71,170,22.55,Outfielder
218,Kevin_Thompson,NYY,Outfielder,70,185,27.45,Outfielder
219,Mike_Mussina,NYY,Starting_Pitcher,74,185,38.23,Pitcher
220,Carl_Pavano,NYY,Starting_Pitcher,77,241,31.14,Pitcher
221,Andy_Pettitte,NYY,Starting_Pitcher,77,225,34.71,Pitcher
222,Darrell_Rasner,NYY,Starting_Pitcher,75,210,26.13,Pitcher
223,Jeff_Karstens,NYY,Starting_Pitcher,75,175,24.43,Pitcher
224,Humberto_Sanchez,NYY,Starting_Pitcher,78,230,23.76,Pitcher
225,Chien-Ming_Wang,NYY,Starting_Pitcher,75,200,26.92,Pitcher
226,Sean_Henn,NYY,Relief_Pitcher,76,215,25.85,Pitcher
227,Scott_Proctor,NYY,Relief_Pitcher,73,198,30.16,Pitcher
228,Brian_Bruney,NYY,Relief_Pitcher,75,226,25.03,Pitcher
229,Chris_Britton,NYY,Relief_Pitcher,75,278,24.21,Pitcher
230,T.J._Beam,NYY,Relief_Pitcher,79,215,26.51,Pitcher
231,Jose_Veras,NYY,Relief_Pitcher,77,230,26.36,Pitcher
232,Kyle_Farnsworth,NYY,Relief_Pitcher,76,240,30.88,Pitcher
233,Luis_Vizcaino,NYY,Relief_Pitcher,71,184,32.57,Pitcher
234,Mike_Myers,NYY,Relief_Pitcher,75,219,37.68,Pitcher
235,Mariano_Rivera,NYY,Relief_Pitcher,74,170,37.25,Pitcher
236,Ivan_Rodriguez,DET,Catcher,69,218,35.25,Catcher
237,Vance_Wilson,DET,Catcher,71,190,33.95,Catcher
238,Sean_Casey,DET,First_Baseman,76,225,32.66,Infielder
239,Chris_Shelton,DET,First_Baseman,72,220,26.68,Infielder
240,Omar_Infante,DET,Second_Baseman,72,176,25.18,Infielder
241,Placido_Polanco,DET,Second_Baseman,70,190,31.39,Infielder
242,Neifi_Perez,DET,Second_Baseman,72,197,33.74,Infielder
243,Carlos_Guillen,DET,Shortstop,73,204,31.42,Infielder
244,Ramon_Santiago,DET,Shortstop,71,167,27.5,Infielder
245,Tony_Giarratano,DET,Shortstop,72,180,24.25,Infielder
246,Brandon_Inge,DET,Third_Baseman,71,195,29.78,Infielder
247,Craig_Monroe,DET,Outfielder,73,220,30.0,Outfielder
248,Magglio_Ordo?ez,DET,Outfielder,72,215,33.09,Outfielder
249,Curtis_Granderson,DET,Outfielder,73,185,25.96,Outfielder
250,Brent_Clevlen,DET,Outfielder,74,190,23.34,Outfielder
251,Marcus_Thames,DET,Outfielder,74,205,29.98,Outfielder
252,Gary_Sheffield,DET,Outfielder,72,205,38.28,Outfielder
253,Zach_Miner,DET,Starting_Pitcher,75,200,24.97,Pitcher
254,Jeremy_Bonderman,DET,Starting_Pitcher,74,210,24.34,Pitcher
255,Nate_Robertson,DET,Starting_Pitcher,74,215,29.49,Pitcher
256,Justin_Verlander,DET,Starting_Pitcher,77,200,24.02,Pitcher
257,Virgil_Vasquez,DET,Starting_Pitcher,75,205,24.73,Pitcher
258,Kenny_Rogers,DET,Starting_Pitcher,73,211,42.3,Pitcher
259,Mike_Maroth,DET,Starting_Pitcher,72,190,29.54,Pitcher
260,Fernando_Rodney,DET,Relief_Pitcher,71,208,29.95,Pitcher
261,Chad_Durbin,DET,Relief_Pitcher,74,200,29.24,Pitcher
262,Jason_Grilli,DET,Relief_Pitcher,77,210,30.3,Pitcher
263,Jose_Mesa,DET,Relief_Pitcher,75,232,40.77,Pitcher
264,Todd_Jones,DET,Relief_Pitcher,75,230,38.85,Pitcher
265,Joel_Zumaya,DET,Relief_Pitcher,75,210,22.31,Pitcher
266,Jordan_Tata,DET,Relief_Pitcher,78,220,25.44,Pitcher
267,Andrew_Miller,DET,Relief_Pitcher,78,210,21.78,Pitcher
268,Yorman_Bazardo,DET,Relief_Pitcher,74,202,22.64,Pitcher
269,Wilfredo_Ledezma,DET,Relief_Pitcher,76,212,26.11,Pitcher
270,Roman_Colon,DET,Relief_Pitcher,78,225,27.55,Pitcher
271,Edward_Campusano,DET,Relief_Pitcher,76,170,24.63,Pitcher
272,Rene_Rivera,SEA,Catcher,70,190,23.58,Catcher
273,Kenji_Johjima,SEA,Catcher,72,200,30.73,Catcher
274,Richie_Sexson,SEA,First_Baseman,80,237,32.17,Infielder
275,Ben_Broussard,SEA,First_Baseman,74,220,30.43,Infielder
276,Jose_Lopez,SEA,Second_Baseman,74,170,23.27,Infielder
